class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,-0.96164,0.14362,-0.087647,-1.5356,-0.35374,-0.82352,0.49536,-0.040995,-0.089604,-0.67257
1,0.17658,-0.21634,0.78884,-0.40877,0.6745,0.78484,0.070815,-0.28864,-0.27063,-0.087131
1,-1.3409,0.55397,-0.034177,-2.6395,0.029845,-0.79944,-0.012299,-0.15081,-0.76516,-0.76639
1,-1.7371,-0.33035,-0.086842,-2.1888,0.51549,-0.28829,-0.1989,-0.25242,0.78183,0.26984
1,0.17289,-0.36021,0.27607,-0.030625,1.3193,-0.098937,-0.16939,-0.1439,-1.3464,0.22911
1,-0.044119,-0.16408,0.30639,-0.77037,0.84449,0.25973,-0.25841,-0.16367,-1.4393,-0.19481
1,-0.76205,0.1309,1.4337,-1.0597,2.2521,0.29775,-0.976,-0.21802,-1.2646,0.53356
1,-1.1746,-0.36363,0.078492,-3.4401,0.89687,-0.78623,-0.027758,-0.15075,-0.5618,-0.49486
1,-0.81666,-0.1224,0.078048,-3.2917,0.76608,-0.062801,-0.8897,-0.26123,1.3834,-0.39711
1,-0.040313,-0.075431,0.47434,-3.305,0.70262,0.071387,0.31742,-0.18157,0.85681,0.1955
1,-0.11865,-0.10164,0.079957,-1.5092,1.836,-0.56998,-0.028917,-0.11167,1.5661,-0.61723
1,-0.38494,-0.22591,0.48056,-2.5386,0.64958,0.0038085,-0.4116,-0.21648,0.53804,0.13892
1,-0.20852,0.057612,-0.019009,-3.2862,1.2212,-0.032067,0.068704,-0.21885,0.48466,-0.46632
1,-1.6019,0.61813,0.23851,-2.1947,-0.028092,-1.0187,0.059859,0.1517,-0.94654,-0.5122
1,-1.3634,0.17221,0.11142,-2.9036,0.33936,-0.14499,-0.66328,-0.15641,0.51655,-0.25612
1,-0.34224,0.18725,0.29911,-0.87905,0.078447,-0.59211,0.53565,-0.13637,-0.34669,-0.22829
1,-0.65811,-0.17291,-0.05834,-3.0351,-0.27094,-0.66486,-0.14049,-0.0049021,0.32777,-0.16861
1,-0.017942,-0.26816,-0.018777,-1.8409,0.077514,-0.48534,0.47261,-0.25719,-1.0148,-0.4354
