class,TFRC,CD26,MIG6,PI3KP110ALPHA,GAPDH,INPP4B,GSK3ALPHABETA,BRD4,NDRG1_pT346,FOXM1,NF2,HER3,ACVRL1,DUSP4,RAB25,JNK_pT183Y185,IGFBP2,PKCDELTA_pS664,X4EBP1
1,-0.14402,-0.61487,-0.09621,0.045549,-3.9608,1.2057,-0.4296,-1.4483,1.2978,0.091829,-0.17913,-0.25469,0.041119,0.35737,-0.87969,0.052739,0.42684,-0.11786,1.3549
1,-0.14349,0.014828,-0.025337,-0.25322,-2.7789,0.55317,-0.14944,-0.46429,0.82459,-0.3802,-0.032483,0.23882,0.03987,-0.66131,-0.78234,0.075208,-0.33895,-0.043569,-0.60447
1,-0.54105,-0.1093,0.28351,-0.17576,-2.0609,2.1659,0.10773,-0.54556,1.8363,-0.4898,-0.19866,-0.33495,-0.084118,0.63114,-0.062337,-0.11519,-0.11886,-0.14607,-0.10983
1,-0.52481,-0.075124,-0.01444,-0.094958,-3.4453,0.67637,-0.017024,-0.58538,0.25682,-0.97213,0.099006,0.4509,-0.1958,-0.46696,-0.53776,0.71736,-1.0108,-0.013304,-0.75056
1,-0.59772,-0.202,0.29786,-0.46144,-1.6895,0.89765,-0.28383,-0.68028,0.054352,-0.3203,-0.26731,0.66277,-0.13233,1.637,0.59007,0.045392,1.648,-0.065482,-0.36057
1,-0.35161,-0.19807,0.3735,-0.53658,0.075111,2.2326,-0.19221,0.071486,-0.114,-0.86072,0.026808,1.2041,-0.25522,-0.10377,1.7215,0.085283,1.0472,-0.15567,-0.63832
1,-0.12858,-0.19709,0.086591,-0.22046,-2.3571,-0.29158,-0.16425,-0.17143,0.59208,-0.27328,0.45095,0.090726,-0.11767,0.098237,-1.023,0.25911,-1.1179,-0.015818,-0.56213
1,0.18568,-0.39925,-0.14211,-0.043532,-3.6565,-0.40226,0.052534,0.15509,-0.077501,-0.37658,-0.23205,0.63623,-0.35644,-0.95579,-0.9288,0.18515,-0.91363,0.15655,-0.13093
1,-0.3838,0.49623,0.12598,-0.51127,-2.7918,0.33912,-0.23009,-0.059676,0.53315,-0.14727,-0.33386,0.50542,0.0039295,-0.51274,1.8672,-0.2176,-0.41806,0.087243,-0.062678
1,-0.51505,0.1255,-0.12662,-0.61645,-2.9129,0.86849,-0.19821,-0.54309,2.1997,-0.53367,-0.14369,0.20797,-0.16544,-0.62044,-0.50937,-0.094471,-0.86424,-0.21807,0.11782
1,-0.84255,0.097364,-0.00043273,-0.27245,-2.6186,1.1527,-0.30867,-0.4171,1.6052,-0.43143,-0.46612,0.36968,-0.088617,-0.26162,-0.095459,0.32442,-0.91595,0.028425,-0.40648
